1,"out_property[out_property,...]","The Z properties that will be added to the attribute table of the input feature class. The following options are available:

Z ！Spot elevation of single-point feature.
POINT_COUNT ！Number of points in each multipoint feature.
Z_MIN ！Lowest Z value found in each multipoint, polyline, polygon, or multipatch feature.
Z_MAX ！Highest Z value found in each multipoint, polyline, polygon, or multipatch feature.
Z_MEAN ！Average Z value found in each multipoint, polyline, polygon, or multipatch feature.
LENGTH_3D ！3-dimensional length of each polyline or polygon feature.
SURFACE_AREA ！Total area of the surface of a multipatch feature.
VERTEX_COUNT ！Total number of vertices in each polyline or polygon feature.
MIN_SLOPE ！Lowest slope value calculated for each polyline, polygon, or multipatch feature.
MAX_SLOPE ！Highest slope value calculated for each polyline, polygon, or multipatch feature.
AVG_SLOPE ！Average slope value calculated for each polyline, polygon, or multipatch feature.
VOLUME ！Volume of space enclosed by each multipatch feature.",LiteralData,String,,,,,,,,,,,,,,,,
140,out_feature_class,"Resulting feature class of polygon index features. The coordinate system of the ouput feature class is determined in this order.If a coordinate system is specified by the Output Coordinate System variable in the Environment Settings the output feature class will use this coordinate system.If a coordinate system is not specified by the Output Coordinate System the output feature class will use the coordinate system of the active data frame (ArcMap is open).If a coordinate system is not specified by the Output Coordinate System and there is no active data frame (ArcMap is not open) the ouput feature class will use the coordinate system of the first input feature.If a coordinate system is not specified by the Output Coordinate System, there is no active data frame (ArcMap is not open) and there is no specified input features the coordinate system of the ouput feature class will be unknown.",Vector,Feature Class,,,,,,,,,,,,,,,,
141,out_feature_class,Resulting feature class of polygon index features. The coordinate system of the ouput feature class is determined in this order.If a coordinate system is specified by the Output Coordinate System variable in the Environment Settings the output feature class will use this coordinate system.If a coordinate system is not specified by the Output Coordinate System the ouput feature class will use the coordinate system of the input feature.,Vector,Feature Class,,,,,,,,,,,,,,,,
142,out_feature_class,The feature class created to hold the polygons that represent the point clusters.,Vector,Feature Class,,,,,,,,,,,,,,,,
143,out_feature_class,The output feature class to be created.,Vector,Feature Class,,,,,,,,,,,,,,,,
144,out_feature_class,The output feature class to be created.,Vector,Feature Class,,,,,,,,,,,,,,,,
145,output_feature_class,The output feature class containing the collapsed features！features that were modified to accommodate the collapse！and all unaffected features.,Vector,Feature Class,,,,,,,,,,,,,,,,
146,out_feature_class,The output feature class containing built-up area polygons representing clustered arrangements of input buildings.,Vector,Feature Class,,,,,,,,,,,,,,,,
147,out_features,"The output polygon feature class of partitions, each of which encloses a manageable number of input features not exceeding the number specified by the Feature Count parameter.",Vector,Feature Class,,,,,,,,,,,,,,,,
148,out_features,The output feature class containing single-line merged road features and all unmerged road features.,Vector,Feature Class,,,,,,,,,,,,,,,,
149,out_feature_class,The output feature class to be created.,Vector,Feature Class,,,,,,,,,,,,,,,,
150,out_feature_class,The output line feature class to be created.,Vector,Feature Class,,,,,,,,,,,,,,,,
151,out_feature_class,The output polygon feature class to be created.,Vector,Feature Class,,,,,,,,,,,,,,,,
152,out_feature_class,The output feature class to be created.,Vector,Feature Class,,,,,,,,,,,,,,,,
