PySAL,[],momepy.mean_node_dist,5328,"Calculates mean distance to neighbouring nodes.
Mean of values in length attribute.",graph,"A Graph representing a street network.
Ideally generated from GeoDataFrame using momepy.gdf_to_nx() .",networkx.Graph,Vector,name,The calculated attribute name.,str,LiteralData,length,The name of the attribute of segment length (geographical).,str,LiteralData,verbose,"If True , shows progress bars in loops and indication of steps.",bool,LiteralData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PySAL,[],libpysal.cg.bbcommon,5329,"Old Stars method for bounding box overlap testing.
Also defined in pysal.weights._cont_binning .",bb,A bounding box.,list,Vector,bbother,The bounding box to test against.,list,Vector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PySAL,[],spreg.TSLS,5330,Two stage least squares with results and diagnostics.,y,nx1 array for dependent variable,array,Vector,x,"Two dimensional array with n rows and one column for each
independent (exogenous) variable, excluding the constant",array,Vector,yend,"Two dimensional array with n rows and one column for each
endogenous variable",array,Vector,q,"Two dimensional array with n rows and one column for each
external exogenous variable to use as instruments (note:
this should not contain any variables from x)",array,Vector,w,"Spatial weights object (required if running spatial
diagnostics)",pysal W object,Vector,robust,"If a??whitea??, then a White consistent estimator of the
variance-covariance matrix is given.  If a??haca??, then a
HAC consistent estimator of the variance-covariance
matrix is given. Default set to None.",string,LiteralData,gwk,"Kernel spatial weights needed for HAC estimation. Note:
matrix must have ones along the main diagonal.",pysal W object,Vector,sig2n_k,"If True, then use n-k to estimate sigma^2. If False, use n.",boolean,LiteralData,spat_diag,"If True, then compute Anselin-Kelejian test (requires w)",boolean,LiteralData,vm,"If True, include variance-covariance matrix in summary
results",boolean,LiteralData,name_y,Name of dependent variable for use in output,string,LiteralData,name_x,Names of independent variables for use in output,list of strings,Vector,name_yend,Names of endogenous variables for use in output,list of strings,Vector,name_q,Names of instruments for use in output,list of strings,Vector,name_w,Name of weights matrix for use in output,string,LiteralData,name_gwk,Name of kernel weights matrix for use in output,string,LiteralData,name_ds,Name of dataset for use in output,string,LiteralData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PySAL,[],libpysal.graph.GraphSummary,5331,"Graph Summary An object containing the statistical attributes summarising the Graph and its basic
properties.",graph,,Graph,Vector,asymmetries,"whether to compute n_asymmetries , which is considerably more expensive
than the other attributes. By default False.",bool,LiteralData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PySAL,[],libpysal.cg.get_points_dist,5332,Returns the distance between a pair of points.,pt1,A point.,libpysal.cg.Point,Vector,pt2,The other point.,libpysal.cg.Point,Vector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PySAL,[],momepy.sunlight_optimised,5333,"A bool indicating whether geometry shapes are optimised for sunlight exposure. A building and its adjacent parts (i.e. connected component) are considered likely
to be optimised for sunlight if its facade_ratio() and elongation() are
lower than the respective parameters, or if its courtyard_area() is higher.",geometry,A GeoDataFrame or GeoSeries containing building polygons to analyse.,GeoDataFrame | GeoSeries,GeoData,graph,"A spatial weights matrix that contains adjacency information
for geometry polygons.",libpysal.graph.Graph,Vector,fr_ratio,"Maximum area to perimeter ratio, for a building structure to be considered
optimised for sunlight.",float,LiteralData,elongation_ratio,"Maximum elongation ratio, for a building structure to be considered
optimised for sunlight.",float,LiteralData,min_courtyard_area,"Minimum courtyard area for a building structure to be considered
optimised for sunlight.",float,LiteralData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PySAL,[],spopt.locate.PMedian,5334,"Implement the \(p\) -median optimization model and solve it. The \(p\) -median problem, as adapted from [ Das13 ] ,
can be formulated as:",name,The problem name.,str,LiteralData,problem,"A pulp instance of an optimization model that contains
constraints, variables, and an objective function.",pulp.LpProblem,NonGeoData,aij,A cost matrix in the form of a 2D array between origins and destinations.,numpy.array,Vector,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PySAL,[],momepy.Streetscape,5335,"Streetscape analysis based on sightlines The class is designed for morphological streetscape analysis, focusing on generating
and analyzing streetscape measures based on sight points and sightlines. It places
sight points at regular intervals along streets ( sightline_spacing ) and
generates four rays from each point: two perpendicular and two tangent to the
street. These rays intersect with building features, allowing the function to
capture various point-based and street-based metrics. The function returns the following measures: Point-level measures (for cross-sectional streetscape analysis): os : Open Space [m] sb : Setback distance from the street edge [m], h : Building Height [m] (if height data is provided height_col ), hw : Height-to-Width Ratio [-] (if height data is provided height_col ), tan : Visual depth along the street[m], tan_ratio : Tangent-Width Ratio[-], csosva : Cross-sectional Sky View Factor[～], cr : Building Coverage Ratio [%] Street-level measures (summarizing the entire street element): par_tot : Total Parallel Fa?ades [-], par_rel : RelativecParallel Fa?ades [-], par_tot_15 : Total Parallel Fa?ades within 15 meters[%], par_rel_15 : Relative Parallel Fa?ades within 15 meters[%], built_freq : Building Frequency, building_prevalence_Ti : Prevalence of specific building types [%] (if building classification is provided category_col ). The method also provides the distribution of measures along the street, providing: _*_std : Standard Deviation, _*_mad : Mean Absolute Deviation, _*_med : Median, _*_mad_med : Median Absolute Deviation for the following indicators: os , sb , h , hw , cr , tan . If no building or feature is found within the specified tick length, the function a
ssigns a theoretical maximum value for os and sb or 0/NaN depending on
the variable. The function also provides the distribution of measures separately for the two sides
of the street (right and left, assigned arbitrarily). Indicators for the left side
are preceded by left_* and for the right side by right_* At the same time,
you can retrieve the index of buildings that intersected each sightline via *_seq_sb_index . Additional street-level measures are: street_length (Street Length), windingness (Windingness or Curvature of Streets, equal to 1 - linearity() ), nodes_degree_1 (Degree 1 Nodes, representing dead
ends), nodes_degree_4 (Degree 4 Nodes, representing intersections with 4
connections), and nodes_degree_3_5_plus (Degree 3-5 or More Nodes, representing
intersections with 3, 5, or more connections). This is a direct implementation of the algorithm proposed in [ Araldi and Fusco, 2024 ] .",streets,GeoDataFrame containing LineString geometry representing streets,gpd.GeoDataFrame,GeoData,buildings,GeoDataFrame containing Polygon geometry representing buildings,gpd.GeoDataFrame,GeoData,sightline_length,"length of the sightline generated at each sightline point perpendiculary to
the street geometry, by default 50",float,LiteralData,tangent_length,"length of the sightline generated at each sightline point tangentially to
the street geometry, by default 300",float,LiteralData,sightline_spacing,"approximate distance between sightline points generated along streets,
by default 3",float,LiteralData,intersection_offset,"Offset to use at the beginning and the end of each LineString. The first
sightline point is generated at this distance from the start and the last
one is generated at this distance from the end of each geometry,
by default 0.5",float,LiteralData,angle_tolerance,"Maximum angle between sightlines that does not require infill lines to be
generated, by default 5",float,LiteralData,height_col,"name of a column of the buildings DataFrame containing the information
about the building height in meters.",str,LiteralData,category_col,"name of a column of the buildings DataFrame containing the information
about the building category encoded as integer labels.",str,LiteralData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PySAL,[],mapclassify.JenksCaspallForced,5336,Jenks Caspall  Map Classification with forced movements.,y,"\((n,1)\) , values to classify.",numpy.array,Vector,k,The number of classes required.,int,LiteralData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
PySAL,[],mapclassify.Pooled,5337,Applying global binning across columns.,Y,"\((n, m)\) , values to classify, with \(m>1\) .",numpy.array,Vector,classifier,Name of mapclassify.classifier to apply.,str,LiteralData,kwargs,Additional keyword arguments for classifier.,dict,LiteralData,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
