WhiteBox,2.4.0,SetNodataValue,2131,"This tool will re-assign a user-defined background value in an input raster image the NoData value.
More precisely, the NoData value will be changed to the specified background value and any existing
grid cells containing the previous NoData value, if it had been defined, will be changed to this new
value. Most WhiteboxTools tools recognize NoData grid cells and treat them specially. NoData grid cells
are also often displayed transparently by GIS software. The user must specify the names of the input and
output rasters and the background value. The default background value is zero, although any numeric
value is possible.","i, --input",Input raster file,"o, --output",Output raster file,back_value,Background value to set to nodata,,,,,,,,,,,,,,,,,,,,
WhiteBox,2.4.0,SinglePartToMultiPart,2132,"This tool can be used to convert a vector file containing single-part features into a vector
containing multi-part features. The user has the option to either group features based on an
ID Field (--field flag), which is a categorical field within the vector's attribute table.
The ID Field should either be of String (text) or Integer type. Fields containing decimal values
are not good candidates for the ID Field. If no --field flag is specified, all features will
be grouped together into one large multi-part vector.","i, --input",Input vector line or polygon file,field,Grouping ID field name in attribute table,"o, --output",Output vector line or polygon file,,,,,,,,,,,,,,,,,,,,
WhiteBox,2.4.0,VectorLinesToRaster,2133,"This tool can be used to convert a vector lines or polygon file into a raster grid of lines. If a vector of one
of the polygon ShapeTypes is selected, the resulting raster will outline the polygons without filling these
features. Use the VectorPolygonToRaster tool if you need to fill the polygon features.","i, --input",Input vector lines file,field,Input field name in attribute table,"o, --output",Output raster file,nodata,"Background value to set to NoData. Without this flag, it will be set to 0.0",cell_size,Optionally specified cell size of output raster. Not used when base raster is specified,base,Optionally specified input base raster file. Not used when a cell size is specified,,,,,,,,,,,,,,
WhiteBox,2.4.0,VectorPointsToRaster,2134,"This tool can be used to convert a vector points file into a raster grid. The user must
specify the name of the input vector and the output raster file. The field name (--field)
is the field from the attributes table from which the tool will retrieve the information to
assign to grid cells in the output raster. The field must contain numerical data. If the user does not
supply a field name parameter, each feature in the raster will be assigned the record number
of the feature. The assignment operation determines how the situation of multiple points
contained within the same grid cell is handled. The background value is zero by default
but can be set to NoData optionally using the --nodata value.","i, --input",Input vector Points file,field,Input field name in attribute table,"o, --output",Output raster file,assign,"Assignment operation, where multiple points are in the same grid cell; options include 'first', 'last' (default), 'min', 'max', 'mean', 'sum', 'number'",nodata,"Background value to set to NoData. Without this flag, it will be set to 0.0",cell_size,Optionally specified cell size of output raster. Not used when base raster is specified,base,Optionally specified input base raster file. Not used when a cell size is specified,,,,,,,,,,,,
WhiteBox,2.4.0,VectorPolygonsToRaster,2135,Converts a vector containing polygons into a raster.,"i, --input",Input vector polygons file,field,Input field name in attribute table,"o, --output",Output raster file,nodata,"Background value to set to NoData. Without this flag, it will be set to 0.0",cell_size,Optionally specified cell size of output raster. Not used when base raster is specified,base,Optionally specified input base raster file. Not used when a cell size is specified,,,,,,,,,,,,,,
WhiteBox,2.4.0,AccumulationCurvature,2136,"Note this tool is part of a WhiteboxTools extension product. Please visit
Whitebox Geospatial Inc. for information about purchasing a license
activation key (https://www.whiteboxgeo.com/extension-pricing/).","i, --dem",Name of the input raster DEM file,"o, --output",Name of the output raster image file,log,Display output values using a log-scale,zfactor,Z conversion factor,,,,,,,,,,,,,,,,,,
WhiteBox,2.4.0,Aspect,2137,"This tool calculates slope aspect (i.e. slope orientation in degrees clockwise from north) for each grid cell
in an input digital elevation model (DEM). The user must specify the name of the input
DEM (--dem) and the output raster image. The Z conversion factor is only important
when the vertical and horizontal units are not the same in the DEM, and the DEM is in a projected coordinate system. When this is the case,
the algorithm will multiply each elevation in the DEM by the Z conversion factor.","i, --dem",Input raster DEM file,"o, --output",Output raster file,zfactor,Optional multiplier for when the vertical and horizontal units are not the same,,,,,,,,,,,,,,,,,,,,
WhiteBox,2.4.0,AssessRoute,2138,"Note this tool is part of a WhiteboxTools extension product. Please visit
Whitebox Geospatial Inc. for information about purchasing a license
activation key (https://www.whiteboxgeo.com/extension-pricing/).",routes,Name of the input routes vector file,dem,Name of the input DEM raster file,"o, --output",Name of the output lines shapefile,length,Maximum segment length (m),dist,"Search distance, in grid cells, used in visibility analysis",,,,,,,,,,,,,,,,
WhiteBox,2.4.0,AverageHorizonDistance,2139,"Note this tool is part of a WhiteboxTools extension product. Please visit
Whitebox Geospatial Inc. for information about purchasing a license
activation key (https://www.whiteboxgeo.com/extension-pricing/).","i, --dem",Name of the input raster DEM file,"o, --output",Name of the output raster image file,az_fraction,Azimuth fraction,max_dist,Maximum distance (xy units),observer_hgt_offset,Oberserver height offset (z units),,,,,,,,,,,,,,,,
WhiteBox,2.4.0,AverageNormalVectorAngularDeviation,2140,"This tool characterizes the spatial distribution of the average normal vector angular deviation, a measure of
surface roughness. Working in the field of 3D printing, Ko et al. (2016) defined a measure of surface roughness
based on quantifying the angular deviations in the direction of the normal vector of a real surface from its ideal
(i.e. smoothed) form. This measure of surface complexity is therefore in units of degrees. Specifically, roughness
is defined in this study as the neighborhood-averaged difference in the normal vectors of the original DEM and a
smoothed DEM surface. Smoothed surfaces are derived by applying a Gaussian blur of the same size as the
neighborhood (--filter).","i, --dem",Input raster DEM file,output,Output raster file,filter,Size of the filter kernel,,,,,,,,,,,,,,,,,,,,
WhiteBox,2.4.0,BreaklineMapping,2141,"Note this tool is part of a WhiteboxTools extension product. Please visit
Whitebox Geospatial Inc. for information about purchasing a license
activation key (https://www.whiteboxgeo.com/extension-pricing/).","i, --input, --dem",Name of the input raster DEM file,"o, --output",Name of the output vector lines file,threshold,Threshold value (0 - infinity but typcially 1 to 5 works well),min_length,"Minimum line length, in grid cells",,,,,,,,,,,,,,,,,,
WhiteBox,2.4.0,CircularVarianceOfAspect,2142,"This tool can be used to calculate the circular variance (i.e. one minus the mean resultant length) of aspect
for an input digital elevation model (DEM). This is a measure of how variable slope aspect is within a local
neighbourhood of a specified size (--filter). CircularVarianceOfAspect is therefore a measure of surface
shape complexity, or texture. It will take a value of 0.0 for smooth sites and near 1.0 in areas of high surface
roughness or complex topography.","i, --dem",Input raster DEM file,output,Output raster file,filter,Size of the filter kernel,,,,,,,,,,,,,,,,,,,,
